🕘️更新时间,#genre#
CCTV-9,http://144.255.32.146:8288/udp/239.21.1.153:5002
CCTV-9,http://180.105.201.135:9981/rtp/239.49.8.53:9814
CCTV-9,http://113.119.25.53:58888/udp/239.77.0.135:5146
CCTV-9,http://27.191.202.133:19999/rtp/239.254.200.59:8112
CCTV-9,http://114.100.195.41:4022/rtp/238.1.78.240:7792
CCTV-9,http://115.171.80.52:1688/rtp/225.1.8.9:8112
CCTV-9,http://106.83.116.15:8188/rtp/235.254.198.58:1508
CCTV-9,http://106.59.2.153:55555/udp/239.200.200.106:8112
CCTV-9,http://115.58.216.71:4000/rtp/225.1.4.77:1106
CCTV-9,http://111.113.88.146:2000/rtp/239.121.4.157:8926
CCTV-10,http://tvlist.top/jd/index.php?id=cctv10&qt=183.224.122.114:8014
CCTV-10,http://144.255.32.146:8288/udp/239.21.1.155:5002
CCTV-10,http://180.105.201.135:9981/rtp/239.49.8.134:6000
CCTV-10,http://113.119.25.53:58888/udp/239.77.0.134:5146
CCTV-10,http://114.100.195.41:4022/rtp/238.1.78.241:7800
CCTV-10,http://180.105.201.135:9981/rtp/239.49.8.54:9818
CCTV-10,http://27.191.202.133:19999/rtp/239.254.200.160:6000
CCTV-10,http://115.171.80.52:1688/rtp/225.1.8.10:8116
CCTV-10,http://106.83.116.15:8188/rtp/235.254.198.59:1512
CCTV-10,http://106.59.2.153:55555/rtp/239.200.200.107:8116
CCTV-11,http://144.255.32.146:8288/udp/239.21.2.2:5002
CCTV-11,http://113.119.25.53:58888/udp/239.77.1.238:5146
CCTV-11,http://114.100.195.41:4022/rtp/238.1.78.206:7502
CCTV-11,http://27.191.202.133:19999/rtp/239.254.201.123:8120
CCTV-11,http://115.171.80.52:1688/rtp/225.1.8.73:8120
CCTV-11,http://106.59.2.153:55555/rtp/239.200.201.125:8480
CCTV-11,http://111.113.88.146:2000/rtp/239.121.4.150:9202
CCTV-11,http://115.58.216.71:4000/rtp/225.1.4.215:1268
CCTV-11,http://144.255.31.40:6688/udp/239.21.2.2:5002
CCTV-11,http://220.176.218.76:9000/udp/239.252.219.78:5140
CCTV-12,http://115.58.216.71:4000/rtp/225.1.4.79:1108
CCTV-12,http://180.105.201.135:9981/rtp/239.49.8.135:6000
CCTV-12,http://180.105.201.135:9981/rtp/239.49.8.55:9822
CCTV-12,http://113.119.25.53:58888/udp/239.77.0.136:5146
CCTV-12,http://114.100.195.41:4022/rtp/238.1.78.242:7808
CCTV-12,http://27.191.202.133:19999/rtp/239.254.200.161:6000
CCTV-12,http://115.171.80.52:1688/rtp/225.1.8.12:8124
CCTV-12,http://106.83.116.15:8188/rtp/235.254.198.60:1516
CCTV-12,http://106.59.2.153:55555/udp/239.200.200.108:8124
CCTV-12,http://220.176.218.76:9000/udp/239.252.220.187:5140
CCTV-13,http://144.255.32.146:8288/udp/239.21.2.3:5002
CCTV-13,http://114.100.195.41:4022/rtp/238.1.79.35:4392
CCTV-13,http://106.59.2.153:55555/udp/239.200.201.170:8620
CCTV-13,http://144.255.31.40:6688/udp/239.21.2.3:5002
CCTV-13,http://111.113.88.146:2000/rtp/239.121.4.13:8028
CCTV-13,http://27.191.202.133:19999/rtp/239.254.200.9:8264
CCTV-13,http://115.58.216.71:4000/rtp/225.1.4.113:1293
CCTV-13,http://113.119.25.53:58888/udp/239.253.43.196:5146
CCTV-13,http://220.176.218.76:9000/udp/239.252.219.139:5140
CCTV-13,http://115.171.80.52:1688/rtp/225.1.8.168:8130
CCTV-14,http://144.255.32.146:8288/udp/239.21.1.157:5002
CCTV-14,http://180.105.201.135:9981/rtp/239.49.8.136:6000
CCTV-14,http://180.105.201.135:9981/rtp/239.49.8.56:9826
CCTV-14,http://114.100.195.41:4022/rtp/238.1.78.243:7816
CCTV-14,http://106.83.116.15:8188/rtp/235.254.198.61:1520
CCTV-14,http://144.255.31.40:6688/udp/239.21.1.157:5002
CCTV-14,http://106.59.2.153:55555/udp/239.200.200.109:8132
CCTV-14,http://111.113.88.146:2000/rtp/239.121.4.160:8944
CCTV-14,http://27.191.202.133:19999/rtp/239.254.200.162:6000
CCTV-14,http://115.58.216.71:4000/rtp/225.1.4.80:1109
CCTV-15,http://113.119.25.53:58888/udp/239.77.1.239:5146
CCTV-15,http://144.255.32.146:8288/udp/239.21.2.4:5002
CCTV-15,http://27.191.202.133:19999/rtp/239.254.201.124:8136
CCTV-15,http://115.171.80.52:1688/rtp/225.1.8.74:8136
CCTV-15,http://114.100.195.41:4022/rtp/238.1.78.222:7648
CCTV-15,http://111.113.88.146:2000/rtp/239.121.4.202:9208
CCTV-15,http://144.255.31.40:6688/udp/239.21.2.4:5002
CCTV-15,http://106.83.116.15:8188/rtp/235.254.198.11:1320
CCTV-15,http://115.58.216.71:4000/rtp/225.1.4.216:1269
CCTV-15,http://220.176.218.76:9000/udp/239.252.219.79:5140
CCTV-16,http://113.119.25.53:58888/udp/239.77.0.165:5146
CCTV-16,http://111.113.88.146:2000/rtp/239.121.4.122:8008
CCTV-16,http://220.176.218.76:9000/udp/239.252.220.237:5140
CCTV-17,http://144.255.32.146:8288/udp/239.21.1.186:5002
CCTV-17,http://180.105.201.135:9981/rtp/239.49.8.52:9810
CCTV-17,http://113.119.25.53:58888/udp/239.77.1.121:5146
CCTV-17,http://180.105.201.135:9981/rtp/239.49.8.132:6000
CCTV-17,http://114.100.195.41:4022/rtp/238.1.78.178:7296
CCTV-17,http://27.191.202.133:19999/rtp/239.254.201.120:8144
CCTV-17,http://115.58.216.71:4000/rtp/225.1.4.226:2506
CCTV-17,http://111.113.88.146:2000/rtp/239.121.4.61:8340
CCTV-17,http://144.255.31.40:6688/udp/239.21.1.186:5002
CCTV-17,http://115.171.80.52:1688/rtp/225.1.8.17:8144
CCTV-4K,http://113.119.25.53:58888/udp/239.77.0.194:5146
CCTV-4K,http://114.100.195.41:4022/rtp/238.1.78.137:6968
CCTV-4K,http://220.176.218.76:9000/rtp/239.252.219.60:5140
CHC动作电影,http://106.59.2.153:55555/rtp/239.200.201.31:8144
CHC动作电影,http://115.58.216.71:4000/rtp/225.1.4.208:1261
CHC动作电影,http://220.176.218.76:9000/udp/239.252.219.85:5140
CHC家庭影院,http://115.58.216.71:4000/rtp/225.1.4.209:1262
CHC家庭影院,http://220.176.218.76:9000/udp/239.252.219.84:5140
CHC影迷电影,http://115.58.216.71:4000/rtp/225.1.4.207:1260

📡卫视频道,#genre#
广东卫视,http://113.119.25.53:58888/udp/239.77.1.152:5146
广东卫视,http://113.119.25.53:58888/udp/239.77.0.166:5146
广东卫视,http://144.255.32.146:8288/udp/239.21.1.92:5002
广东卫视,http://180.105.201.135:9981/rtp/239.49.8.143:6000
广东卫视,http://180.105.201.135:9981/rtp/239.49.8.13:9422
广东卫视,http://113.119.25.53:58888/udp/239.77.1.19:5146
广东卫视,http://106.83.116.15:8188/rtp/235.254.196.204:1088
广东卫视,http://111.113.88.146:2000/rtp/239.121.4.118:8690
广东卫视,http://144.255.31.40:6688/udp/239.21.1.92:5002
广东卫视,http://114.100.195.41:4022/rtp/238.1.78.161:7160
浙江卫视,http://180.105.201.135:9981/rtp/239.49.8.20:9618
浙江卫视,http://144.255.32.146:8288/udp/239.21.1.90:5002
浙江卫视,http://114.100.195.41:4022/rtp/238.1.78.164:7184
浙江卫视,http://106.83.116.15:8188/rtp/235.254.198.63:1528
浙江卫视,http://115.171.80.52:1688/udp/225.1.8.46:8036
浙江卫视,http://111.113.88.146:2000/rtp/239.121.4.116:8678
浙江卫视,http://113.119.25.53:58888/udp/239.77.1.33:5146
浙江卫视,http://106.59.2.153:55555/udp/239.200.200.141:8724
浙江卫视,http://115.58.216.71:4000/rtp/225.1.4.84:1113
浙江卫视,http://58.46.71.147:8188/udp/239.76.253.182:9000
湖南卫视,http://180.105.201.135:9981/rtp/239.49.8.12:9418
湖南卫视,http://180.105.201.135:9981/rtp/239.49.8.142:6000
湖南卫视,http://114.100.195.41:4022/rtp/238.1.78.160:7152
湖南卫视,http://106.83.116.15:8188/rtp/235.254.198.62:1524
湖南卫视,http://58.46.71.147:8188/udp/239.76.253.101:9000
湖南卫视,http://111.113.88.146:2000/rtp/239.121.4.114:8666
湖南卫视,http://113.119.25.53:58888/udp/239.77.1.5:5146
湖南卫视,http://115.58.216.71:4000/rtp/225.1.4.82:1111
湖南卫视,http://144.255.31.40:6688/udp/239.21.1.158:5002
湖南卫视,http://58.46.71.147:8188/udp/239.76.252.115:9000
北京卫视,http://38.75.136.137:98/gslb/dsdqpub/bjwshd.m3u8?auth=testpub
北京卫视,http://satellitepull.cnr.cn/live/wxbtv/playlist.m3u8
北京卫视,http://180.105.201.135:9981/rtp/239.49.8.11:9414
北京卫视,http://144.255.32.146:8288/udp/239.21.1.88:5002
北京卫视,http://111.113.88.146:2000/rtp/239.121.4.117:8684
北京卫视,http://115.58.216.71:4000/rtp/225.1.4.81:1110
北京卫视,http://144.255.31.40:6688/udp/239.21.1.88:5002
北京卫视,http://113.119.25.53:58888/udp/239.77.1.4:5146
北京卫视,http://27.191.202.133:19999/rtp/239.254.200.47:8024
北京卫视,http://113.119.25.53:58888/udp/239.77.1.151:5146
湖北卫视,http://38.75.136.137:98/gslb/dsdqpub/hbwshd.m3u8?auth=testpub
湖北卫视,http://180.105.201.135:9981/rtp/239.49.8.147:6000
湖北卫视,http://180.105.201.135:9981/rtp/239.49.8.8:9632
湖北卫视,http://144.255.32.146:8288/udp/239.21.1.163:5002
湖北卫视,http://106.83.116.15:8188/rtp/235.254.198.72:1564
湖北卫视,http://115.58.216.71:4000/rtp/225.1.4.89:1118
湖北卫视,http://113.119.25.53:58888/udp/239.77.0.128:5146
湖北卫视,http://144.255.31.40:6688/udp/239.21.1.163:5002
湖北卫视,http://27.191.202.133:19999/rtp/239.254.200.164:6000
湖北卫视,http://114.100.195.41:4022/rtp/238.1.78.168:7216
黑龙江卫视,http://115.58.216.71:4000/rtp/225.1.4.91:1120
黑龙江卫视,http://180.105.201.135:9981/rtp/239.49.8.14:9426
黑龙江卫视,http://180.105.201.135:9981/rtp/239.49.8.144:6000
黑龙江卫视,http://58.46.71.147:8188/udp/239.76.246.200:1234
黑龙江卫视,http://111.113.88.146:2000/rtp/239.121.4.120:8702
黑龙江卫视,http://114.100.195.41:4022/rtp/238.1.78.159:7144
黑龙江卫视,http://106.83.116.15:8188/rtp/235.254.198.70:1556
黑龙江卫视,http://27.191.202.133:19999/rtp/239.254.200.49:8016
黑龙江卫视,http://115.171.80.52:1688/udp/225.1.8.42:8016
黑龙江卫视,http://58.46.71.147:8188/udp/239.76.253.200:9000
安徽卫视,http://38.75.136.137:98/gslb/dsdqpub/ahwshd.m3u8?auth=testpub
安徽卫视,http://144.255.32.146:8288/udp/239.21.1.159:5002
安徽卫视,http://115.58.216.71:4000/rtp/225.1.4.87:1116
安徽卫视,http://113.119.25.53:58888/udp/239.77.1.92:5146
安徽卫视,http://180.105.201.135:9981/rtp/239.49.8.204:6000
安徽卫视,http://114.100.195.41:4022/rtp/238.1.79.27:4328
安徽卫视,http://27.191.202.133:19999/rtp/239.254.200.163:6000
安徽卫视,http://144.255.31.40:6688/udp/239.21.1.159:5002
安徽卫视,http://115.171.80.52:1688/udp/225.1.8.52:8064
安徽卫视,http://58.46.71.147:8188/udp/239.76.245.196:1234
重庆卫视,http://38.75.136.137:98/gslb/dsdqpub/cqwshd.m3u8?auth=testpub
重庆卫视,http://144.255.32.146:8288/udp/239.21.1.233:5002
重庆卫视,http://115.58.216.71:4000/rtp/225.1.4.157:1308
重庆卫视,http://180.105.201.135:9981/rtp/239.49.8.57:9830
重庆卫视,http://180.105.201.135:9981/rtp/239.49.8.149:6000
重庆卫视,http://113.119.25.53:58888/udp/239.77.1.162:5146
重庆卫视,http://58.46.71.147:8188/udp/239.76.253.92:9000
重庆卫视,http://114.100.195.41:4022/rtp/238.1.78.31:6176
重庆卫视,http://111.113.88.146:2000/rtp/239.121.4.36:8190
重庆卫视,http://115.171.80.52:1688/udp/225.1.8.172:8162
东方卫视,http://144.255.32.146:8288/udp/239.21.1.111:5002
东方卫视,http://180.105.201.135:9981/rtp/239.49.8.140:6000
东方卫视,http://180.105.201.135:9981/rtp/239.49.8.17:9606
东方卫视,http://144.255.31.40:6688/udp/239.21.1.111:5002
东方卫视,http://58.46.71.147:8188/udp/239.76.253.186:9000
东方卫视,http://111.113.88.146:2000/rtp/239.121.4.109:8636
东方卫视,http://106.83.116.15:8188/rtp/235.254.198.73:1568
东方卫视,http://220.176.218.76:9000/udp/239.252.219.229:5140
东方卫视,http://115.171.80.52:1688/udp/225.1.8.45:8032
东方卫视,http://113.119.25.53:58888/udp/239.77.1.218:5146
东南卫视,http://144.255.32.146:8288/udp/239.21.1.113:5002
东南卫视,http://58.46.71.147:8188/udp/239.76.252.190:9000
东南卫视,http://144.255.31.40:6688/udp/239.21.1.113:5002
东南卫视,http://106.83.116.15:8188/rtp/235.254.198.129:7980
东南卫视,http://111.113.88.146:2000/rtp/239.121.4.102:9226
东南卫视,http://115.171.80.52:1688/udp/225.1.8.79:8148
东南卫视,http://113.119.25.53:58888/udp/239.77.1.104:5146
东南卫视,http://115.58.216.71:4000/rtp/225.1.4.228:1274
东南卫视,http://27.191.202.133:19999/rtp/239.254.201.13:6291
东南卫视,http://106.59.2.153:55555/udp/239.200.201.69:8764
甘肃卫视,http://38.75.136.137:98/gslb/dsdqpub/gswshd.m3u8?auth=testpub
甘肃卫视,http://144.255.32.146:8288/udp/239.21.2.22:5002
甘肃卫视,http://144.255.31.40:6688/udp/239.21.2.22:5002
甘肃卫视,http://113.119.25.53:58888/udp/239.77.0.189:5146
甘肃卫视,http://115.58.216.71:4000/rtp/225.1.4.42:1071
甘肃卫视,http://114.100.195.41:4022/rtp/238.1.79.36:4400
甘肃卫视,http://106.59.2.153:55555/udp/239.200.200.186:8356
甘肃卫视,http://220.176.218.76:9000/udp/239.252.219.140:5140
广西卫视,http://113.119.25.53:58888/udp/239.253.43.36:5146
广西卫视,http://115.58.216.71:4000/rtp/225.1.4.31:1060
广西卫视,http://27.191.202.133:19999/rtp/239.254.200.80:8300
广西卫视,http://220.176.218.76:9000/udp/239.252.219.183:5140
贵州卫视,http://144.255.32.146:8288/udp/239.21.1.166:5002
贵州卫视,http://144.255.31.40:6688/udp/239.21.1.166:5002
贵州卫视,http://111.113.88.146:2000/rtp/239.121.4.65:8364
贵州卫视,http://106.83.116.15:8188/rtp/235.254.198.185:7980
贵州卫视,http://58.46.71.147:8188/udp/239.76.252.198:9000
贵州卫视,http://113.119.25.53:58888/udp/239.77.1.221:5146
贵州卫视,http://115.58.216.71:4000/rtp/225.1.4.122:1302
贵州卫视,http://220.176.218.76:9000/udp/239.252.220.190:5140
贵州卫视,http://115.171.80.52:1688/udp/225.1.8.77:8076
贵州卫视,http://114.100.195.41:4022/rtp/238.1.78.244:7824
海南卫视,http://144.255.32.146:8288/udp/239.21.2.14:5002
海南卫视,http://58.46.71.147:8188/udp/239.76.253.203:9000
海南卫视,http://144.255.31.40:6688/udp/239.21.2.14:5002
海南卫视,http://115.58.216.71:4000/rtp/225.1.4.195:1310
海南卫视,http://27.191.202.133:19999/rtp/239.254.201.125:6288
海南卫视,http://114.100.195.41:4022/rtp/238.1.79.49:4504
海南卫视,http://220.176.218.76:9000/udp/239.252.219.178:5140
河北卫视,http://180.105.201.135:9981/rtp/239.49.8.188:6000
河北卫视,http://144.255.32.146:8288/udp/239.21.1.168:5002
河北卫视,http://144.255.31.40:6688/udp/239.21.1.168:5002
河北卫视,http://111.113.88.146:2000/rtp/239.121.4.76:8430
河北卫视,http://106.83.116.15:8188/rtp/235.254.198.184:7980
河北卫视,http://58.46.71.147:8188/udp/239.76.252.199:9000
河北卫视,http://115.58.216.71:4000/rtp/225.1.4.123:1304
河北卫视,http://27.191.202.133:19999/rtp/239.254.200.174:6000
河北卫视,http://113.119.25.53:58888/udp/239.77.1.214:5146
河北卫视,http://115.171.80.52:1688/udp/225.1.8.76:8002
河南卫视,http://1.94.31.214/php/hntv.php?id=hnws
河南卫视,http://144.255.32.146:8288/udp/239.21.2.37:5002
河南卫视,http://144.255.31.40:6688/udp/239.21.2.37:5002
河南卫视,http://58.46.71.147:8188/udp/239.76.246.202:1234
河南卫视,http://115.58.216.71:4000/rtp/225.1.4.98:1127
河南卫视,http://220.176.218.76:9000/udp/239.252.220.189:5140
河南卫视,http://115.58.216.71:4000/rtp/225.1.4.254:1300
河南卫视,http://113.119.25.53:58888/udp/239.77.1.229:5146
河南卫视,http://114.100.195.41:4022/rtp/238.1.79.65:4632
河南卫视,http://27.191.202.133:19999/rtp/239.254.201.16:7174
吉林卫视,http://38.75.136.137:98/gslb/dsdqpub/jlwshd.m3u8?auth=testpub
吉林卫视,http://144.255.32.146:8288/udp/239.21.2.49:5002
吉林卫视,http://58.46.71.147:8188/udp/239.76.253.201:9000
吉林卫视,http://144.255.31.40:6688/udp/239.21.2.49:5002
吉林卫视,http://111.113.88.146:2000/rtp/239.121.4.43:8232
吉林卫视,http://113.119.25.53:58888/udp/239.77.1.111:5146
吉林卫视,http://115.58.216.71:4000/rtp/225.1.4.174:1309
吉林卫视,http://114.100.195.41:4022/rtp/238.1.79.48:4496
吉林卫视,http://27.191.202.133:19999/rtp/239.254.201.15:6339
吉林卫视,http://220.176.218.76:9000/udp/239.252.220.188:5140
江苏卫视,http://180.105.201.135:9981/rtp/239.49.8.138:6000
江苏卫视,http://180.105.201.135:9981/rtp/239.49.8.16:9602
江苏卫视,http://144.255.32.146:8288/udp/239.21.1.89:5002
江苏卫视,http://144.255.31.40:6688/udp/239.21.1.89:5002
江苏卫视,http://58.46.71.147:8188/udp/239.76.253.181:9000
江苏卫视,http://111.113.88.146:2000/rtp/239.121.4.115:8672
江苏卫视,http://106.83.116.15:8188/rtp/235.254.198.64:1532
江苏卫视,http://115.171.80.52:1688/udp/225.1.8.44:8028
江苏卫视,http://114.100.195.41:4022/rtp/238.1.78.165:7192
江苏卫视,http://113.119.25.53:58888/udp/239.77.1.18:5146
江西卫视,http://38.75.136.137:98/gslb/dsdqpub/jxwshd.m3u8?auth=testpub
江西卫视,http://144.255.32.146:8288/udp/239.21.1.167:5002
江西卫视,http://180.105.201.135:9981/rtp/239.49.8.185:6000
江西卫视,http://144.255.31.40:6688/udp/239.21.1.167:5002
江西卫视,http://113.119.25.53:58888/udp/239.77.1.219:5146
江西卫视,http://115.171.80.52:1688/udp/225.1.8.171:8166
江西卫视,http://115.58.216.71:4000/rtp/225.1.4.139:1305
江西卫视,http://27.191.202.133:19999/rtp/239.254.201.12:6290
江西卫视,http://114.100.195.41:4022/rtp/238.1.78.26:6136
辽宁卫视,http://38.75.136.137:98/gslb/dsdqpub/lnwshd.m3u8?auth=testpub
辽宁卫视,http://180.105.201.135:9981/rtp/239.49.8.48:8000
辽宁卫视,http://144.255.32.146:8288/udp/239.21.1.164:5002
辽宁卫视,http://144.255.31.40:6688/udp/239.21.1.164:5002
辽宁卫视,http://111.113.88.146:2000/rtp/239.121.4.163:8962
